symbol,currentPrice,sharesOutstanding,trailingEps,forwardEps,lastDividendValue,freeCashflow,operatingCashflow,totalRevenue,shortRatio,beta,profitMargins,revenueGrowth,earningsGrowth,debtToEquity,priceToSalesTrailing12Months,returnOnEquity,averageVolume,sharesShort,trailingPE,forwardPE,priceToBook,dividendYield
CBOE,191.76,104686000,7.21,9.18,0.55,7.18028,15.49395,37.78538,2.87,0.666,0.19729,0.162,0.062,38.137,5.1670876,0.19518,0.00904,0.02435,26.596394,20.994041,4.769793,0.0129
CBRE,132.39,306017984,3.11,6,,2.99413,3.98996,112.1274,2.43,1.395,0.02792,0.148,0.197,73.116,1.1807104,0.11434,0.00617,0.01548,42.569134,21.717876,4.5814447,
CCI,88.54,434598016,2.77,2.68,1.565,3.00968,6.75107,15.17034,2.6,0.875,0.18626,-0.009,0.142,559.592,5.9319787,0.20527,0.00666,0.01682,31.9639,33.25621,7.2722793,0.0696
CCL,24.13,1164000000,1.43,1.72,0.5,-0.43492,5.09794,21.03007,3.02,2.668,0.063930005,0.152,0.599,352.355,1.3027084,0.20120001,0.01987,0.05751,16.874126,11.851437,3.5563743,
CDNS,308.14,274263008,3.85,6.85,,3.42726,3.97897,15.87493,2.81,1.02,0.23868,0.188,-0.065,61.911,19.41048,0.27072,0.00666,0.01636,80.03637,44.88729,18.519142,
CDW,179.29,133264000,8.17,10.12,0.62,9.26385,11.01948,156.31528,1.68,1.053,0.05327,-0.02,0.009,278.653,1.1469768,0.53360003,0.00967,0.0199,21.94492,17.63957,10.165561,0.0143
CE,66.05,109312000,10.03,9.62,0.7,5.78619,11.91086,95.86321,1.71,1.304,0.10402001,-0.028,-0.878,172.83,0.6898409,0.15095,0.02132,0.04698,6.5852447,7.239356,0.99217385,0.0423
CEG,264.28,312767008,9.49,8.95,0.353,2.50786,-14.80335,76.67689,2,0.776,0.11926,0.072,0.69,65.003,3.446671,0.22846001,0.00933,0.0163,27.848263,29.533575,6.5806775,0.0056
CF,89.76,174020000,6.4,6.18,0.5,8.78419,13.39501,34.38111,2.98,0.957,0.19455,0.076,0.82,42.006,2.6107364,0.1792,0.00961,0.02924,14.025001,15.469195,3.012586,0.0226
CHD,101.67,244998000,2.17,3.73,0.284,2.74135,4.48738,24.70673,3.76,0.55,0.09083,0.038,0.038,57.536,4.2352676,0.13338,0.00592,0.02301,46.85253,27.258394,5.9379745,0.0108
CHRW,103.52,118205000,2.87,4.76,0.62,0.99143,2.44055,150.26596,4.09,0.842,0.01956,0.07,0.176,116.88,0.6950372,0.22818,0.00978,0.04224,36.069687,21.059782,7.45338,0.023699999
CHTR,349.55,142184000,31.11,35.78,,26.75494,104.2663,385.9084,9.65,1.036,0.085200004,0.016,0.069,533.472,0.928585,0.32965,0.00818,0.07994,11.235936,9.686088,3.5253952,
CI,279.66,278152992,10.52,31.32,1.4,-10.93643,23.79266,825.9735,2.34,0.511,0.01323,0.28,-0.445,80.15,0.33984095,0.07606,0.00721,0.01657,26.583649,8.867423,1.8568735,0.02
CINF,141.75,156315008,19.41,7.33,0.81,19.44871,16.53072,77.75965,3.82,0.666,0.25257,0.833,0.833,6.331,1.8274263,0.25135002,0.0037,0.01226,7.3029366,19.287762,1.6050137,0.0228
CL,87.54,817011008,3.38,3.86,0.5,3.64729,4.86407,24.60922,2.14,0.415,0.14264,0.024,0.049,1009.091,3.663261,4.87923,0.0054,0.01137,25.899408,22.744278,164.54887,0.0222
CLX,157.59,123781000,2.79,7.29,1.22,4.30902,7.23859,60.34044,3.6,0.399,0.0478,0.271,3.704,1287.5,2.6995173,2.08451,0.00922,0.03113,56.48387,21.630013,324.92783,0.03
CMCSA,37.49,3817100032,3.71,4.38,0.31,5.5013,6.68439,32.24175,2.58,1.004,0.11924,0.065,-0.041,117.127,1.1656537,0.16884,0.00505,0.0131,10.105122,8.571808,1.6759052,0.032899998
CME,225.82,360359008,9.24,10.37,5.8,6.97371,10.31444,16.74552,1.9,0.559,0.57434,0.185,0.214,13.621,13.884428,0.12297,0.0054,0.01311,24.439396,21.673908,2.8776412,0.044699997
CMG,58.8,1362589952,1.06,1.31,,0.64504,1.35313,8.06175,3.27,1.266,0.13512999,0.13,0.231,124.061,7.4053593,0.45673,0.00656,0.02,55.4717,44.498596,22.188679,
CMI,358.04,137182000,15.43,22.52,1.82,16.00884,11.10933,249.28926,2.89,0.971,0.06132,0.003,0.277,72.251,1.4362432,0.19375,0.00449,0.01318,23.204147,16.151005,4.761677,0.020499999
CMS,65.42,298784992,3.44,3.58,0.515,-2.07507,7.93882,25.02134,3.36,0.407,0.14005,0.042,0.405,187.096,2.6621287,0.11501,0.00701,0.02527,19.01744,18.24841,2.4784057,0.0309
CNC,62.69,504864992,5.91,7.04,,1.9837,1.89754,289.59029,3.48,0.493,0.02098,0.061,0.565,64.231,0.21647826,0.11559,0.01254,0.03813,10.607445,8.560325,1.1710095,
CNP,31.05,651726976,1.47,1.74,0.2,-2.32114,3.15776,13.13894,4.5,0.917,0.11246,-0.002,-0.255,188.828,2.40811,0.09573,0.00759,0.02892,21.122448,17.781366,1.9208164,0.0278
COO,93.01,199583008,1.99,4.08,0.0075,0.74543,3.08343,19.06024,1.76,0.99,0.09445,0.078,0.209,36.711,4.8797917,0.0465,0.00656,0.01109,46.738693,20.96425,2.3366997,0.0002
COP,99.99,1293560064,8.34,8.03,0.78,5.71968,16.18015,44.00569,1.8,1.22,0.17472,-0.079,-0.241,36.695,2.2972019,0.20376,0.00512,0.01005,11.989208,11.917432,2.3071065,0.0309
COR,228.88,193280000,7.53,16.36,0.51,19.80815,18.02921,1520.89515,8.32,0.436,0.00513,0.147,-0.99,557.753,0.15070055,2.0911798,0.00643,0.05047,30.39575,14.007079,57.105793,0.0096
COST,922.71,443899008,17.16,19.68,1.16,10.06423,25.5441,573.22274,3.48,0.789,0.02895,0.01,0.088,42.118,1.6096885,0.30267,0.00423,0.01484,53.77098,46.12005,17.309034,0.0047
CPAY,342.37,69711000,14.02,22.18,,12.13699,28.8103,55.62218,3.13,1.214,0.26142,0.06,0.071,253.558,6.1552777,0.32836,0.00686,0.01966,24.420113,15.464754,7.726873,
CPB,40.5,298108992,1.77,3.41,0.39,1.9347,3.97506,32.32375,7.94,0.181,0.05884,0.109,0.109,198.683,1.2913136,0.15203,0.00797,0.05058,22.881355,12.138578,3.1809614,0.0325
CPRT,56.58,963528000,1.42,1.74,,0.76419,1.5283,4.3972,3.03,1.271,0.32171002,0.072,-0.083,1.573,12.942338,0.20129,0.00435,0.0128,39.845074,31.978207,7.2417765,
CPT,113.46,106681000,3.17,1.62,1.03,6.6961,7.6349,14.59069,2.59,0.92,0.2216,-0.005,-0.005,71.778,7.7761936,0.07229,0.00727,0.01658,35.791798,63.493664,2.769884,0.0352
CRL,189.54,51136200,8.01,10.28,,9.68538,15.56936,79.41372,3.52,1.376,0.10436,-0.016,-0.213,72.176,2.386741,0.11924,0.01305,0.04192,23.66292,18.328362,2.5624592,
CRM,330.53,957000000,6.06,11.13,0.4,13.51698,12.61651,38.10345,2.69,1.288,0.15445,0.084,0.148,21.148,8.674542,0.09734,0.00607,0.01412,54.542904,29.439533,5.380859,0.0048
CRWD,366.36,246311008,0.51,4.27,,4.90886,5.40131,14.27568,2.58,1.102,0.0484,0.317,5.333,27.398,25.663227,0.07334,0.01441,0.0338,718.3529,83.4267,38.458954,
CSGP,71.21,409960000,0.41,1.12,,-0.35197,1.08913,6.50527,4.94,0.823,0.06577,0.109,-0.409,14.763,11.106374,0.02386,0.00696,0.02866,173.68292,62.912468,3.892746,
CSX,32,1928419968,1.86,2.03,0.12,1.26483,2.7914,7.61297,3.19,1.191,0.24971001,0.013,0.122,147.913,4.248016,0.29458,0.0062,0.01767,17.204302,15.953019,4.7725577,0.0148
CTAS,185.1,403496000,4.13,4.68,1.56,3.95853,5.47606,24.17836,4.12,1.313,0.16795,0.068,0.183,70.573,7.686627,0.40462002,0.00409,0.01366,44.8184,38.902576,17.368866,0.0076
CTRA,26.24,736444992,1.65,2.33,0.21,1.35075,3.97721,7.46695,2.96,0.197,0.22549999,-0.05,-0.19,18.111,3.514151,0.095979996,0.00786,0.02355,15.90303,8.9959135,1.4817325,0.032
CTSH,75.91,495824000,4.49,4.99,0.3,3.32023,3.9147,39.15099,5.79,1.052,0.116009995,0.03,0.125,12.891,1.950909,0.16478,0.00622,0.03629,16.90646,15.275672,2.6052787,0.015700001
CTVA,56.94,687292992,0.96,3.21,0.17,3.51342,3.41194,24.20656,3.55,0.773,0.04177,-0.102,-0.102,22.883,2.3522549,0.02704,0.00475,0.01872,59.3125,17.748602,1.5863374,0.012200001
CVS,45.82,1258409984,3.95,6.48,0.665,1.55563,3.66415,291.83334,1.62,0.543,0.013660001,0.06,-0.961,110.116,0.15700743,0.06697,0.01076,0.01512,11.599999,6.770905,0.7691274,0.0581
CVX,147.26,1782919936,9.09,11.04,1.63,7.77447,19.76028,107.51408,8.13,1.078,0.087019995,-0.064,-0.287,16.456,1.369681,0.103520006,0.0043,0.0358,16.200218,12.875866,1.694221,0.044099998
CZR,33.39,212480000,-1.73,1.34,,-1.0248,5.99586,53.04499,4.41,2.962,-0.03203,-0.04,-0.04,599.43,0.62946564,-0.063769996,0.01817,0.07532,26.868048,26.868048,1.6942358,
D,53.66,840009984,2.66,3.38,0.668,3.17571,6.86063,17.37241,3.66,0.596,0.16946,0.034,5.846,156.351,3.1503968,0.085030004,0.0053,0.02142,20.172932,15.864615,1.7215271,0.048800003
DAL,60.04,645281024,7.34,7.02,0.15,0.01414,10.34588,93.45851,4.94,1.341,0.07712,0.012,0.145,186.78,0.6424241,0.4067,0.01235,0.05595,8.179836,8.133055,2.820766,0.010199999
DAY,73.74,157700000,0.34,2.21,,0.85265,1.83893,10.74509,7.14,1.271,0.03122,0.166,0.166,48.404,6.8626723,0.02194,0.00953,0.0689,216.88234,33.143806,4.552414,
DD,75.26,417955008,1.29,4.39,0.38,6.39483,4.39521,29.1706,2.16,1.338,0.06553,0.044,0.548,31.03,2.5799947,0.02187,0.00458,0.01003,58.341087,17.109291,1.2989748,0.020299999
DE,418,271575008,25.37,22.17,1.62,11.04667,36.20362,206.03885,6.18,0.935,0.14698,-0.168,-0.383,288.043,2.049227,0.35481,0.00431,0.01978,16.476152,18.380405,4.959011,0.014500001
DECK,208.47,151922000,5.66,6.36,,4.62428,6.14629,30.65213,1.76,1.053,0.18799,0.201,0.395,11.633,6.80116,0.4357,0.01258,0.02038,36.832157,32.83768,14.253384,
DG,75.85,219926000,6.16,6.22,0.59,5.78577,15.08601,180.41058,1.73,0.449,0.03568,0.042,-0.202,250.873,0.4204299,0.20882,0.01875,0.03279,12.313312,12.705639,2.4686737,0.0297
DGX,152.27,111615000,7.46,9.76,0.75,7.64458,12.51624,85.46343,2.13,0.891,0.08816,0.084,0.015,100.708,1.7816979,0.13224,0.00737,0.01711,20.41153,15.651131,2.504647,0.0197
DHI,139.36,320828992,14.28,15.93,0.3,16.52243,6.82544,114.70722,3.1,1.744,0.12925,-0.048,-0.118,22.915,1.2195392,0.19631,0.00863,0.02403,9.759104,8.722708,1.783945,0.0114
DHR,238.2,722275008,5.38,8.38,0.27,7.15759,8.70583,32.87113,1.82,0.881,0.16393,0.031,-0.26,36.69,7.2464795,0.07586,0.00408,0.00794,44.275093,28.527287,3.3534184,0.0046
DIS,111.05,1810940032,2.72,5.15,0.5,4.56876,7.3194,49.71341,2.29,1.398,0.053049996,0.037,0.037,45.188,2.233804,0.0546,0.00513,0.00968,40.827206,18.312695,2.004187,0.0082
DLR,179.6,331712992,1.22,1.21,1.22,5.68598,5.89156,16.20333,3.43,0.609,0.08209,0.016,-0.96,79.825,11.432493,0.01956,0.00584,0.02108,147.21312,167.85046,2.9008918,0.0269
DLTR,76.61,215039008,-4.91,6.06,,1.7316,12.85023,144.00318,2.43,0.874,-0.0344,0.007,-0.323,146.319,0.53200215,-0.12983,0.01901,0.05685,12.626018,12.626018,2.2827091,
DOC,20.02,699443008,0.49,0.25,0.3,0.53572,1.45575,3.6545,2.32,1.117,0.12109999,0.259,0.046,96.594,5.4781814,0.04085,0.00703,0.01606,40.857143,54.10811,1.6352202,0.0588
DOV,188.03,137192000,11.02,9.41,0.515,6.18008,9.28077,61.77119,2.16,1.218,0.18378,0.013,0.219,59.444,3.0439756,0.2911,0.00583,0.00966,17.062613,20.018396,4.527243,0.011
DOW,39.75,700092032,1.5,3.11,0.7,1.07022,5.36501,61.6776,2.14,1.222,0.02464,0.014,-0.286,95.059,0.6444803,0.05863,0.01001,0.02297,26.5,12.395071,1.5197859,0.071100004
DRI,183.96,117147000,8.57,10.56,1.4,6.12542,13.79463,97.45363,5.78,1.309,0.091120005,0.01,0.087,326.282,1.9262432,0.48619,0.01073,0.05697,21.46558,17.25629,9.750875,0.035
DTE,119.67,207100992,7.26,7.21,1.09,-7.34485,16.43643,59.9466,2.02,0.683,0.12332,0.006,0.425,213.847,2.028134,0.13638,0.00637,0.01405,16.48347,16.608192,2.137995,0.0359
DUK,106.37,772481984,5.5,6.34,1.045,-3.1046,14.91297,38.51352,2.95,0.457,0.14534001,0.02,0.01,169.205,2.7984989,0.088369995,0.00432,0.01177,19.34,16.773052,1.705112,0.0388
DVA,151.53,82024000,9.2,11.27,,13.59157,23.89076,154.4257,5.72,0.887,0.06534,0.046,-0.046,549.552,0.9896024,0.44884,0.0095,0.0493,16.470652,13.305399,32.378204,
DVN,33.75,656899968,5.37,4.46,0.22,-2.39648,10.15832,22.11752,2.97,2.071,0.23429,-0.102,-0.085,64.021,1.5340767,0.26279,0.01452,0.0394,6.2849164,7.2231293,1.5554429,0.0427
DXCM,79.88,390595008,1.63,2.03,,0.90433,2.10371,10.12302,2.62,1.173,0.17218,0.02,0.157,130.935,8.008486,0.32061002,0.01012,0.02389,49.006134,39.442432,15.764752,
EA,145.25,262272992,3.88,8.53,0.19,6.89501,8.38058,28.24919,3.74,0.781,0.14118,0.058,-0.245,29.954,5.1785574,0.13962,0.00705,0.02734,37.435566,17.093807,5.1596746,0.0052
EBAY,62.94,479000000,3.97,5.22,0.27,3.17667,3.881,21.43215,5.28,1.337,0.19677,0.03,-0.477,145,2.9367094,0.35851002,0.00897,0.04365,15.853904,12.0664625,5.597154,0.0175
ECL,231.38,283161984,7.1,7.5,0.65,7.34522,10.24043,55.3556,1.79,1.141,0.13045,0.178,0.178,103.915,4.1898193,0.25164,0.00363,0.00681,32.588734,30.891527,9.863586,0.0112
ED,88.37,346457984,5.27,5.62,0.83,-4.64991,9.46435,43.38477,6.32,0.353,0.12267999,0.057,0.112,120.07,2.056944,0.08582,0.00624,0.0401,16.768501,15.70157,1.3962932,0.0372
EFX,248.76,123952000,4.43,9.41,0.39,6.06475,10.6638,45.08358,2.13,1.594,0.100659996,0.093,-0.137,108.422,5.620448,0.11927,0.00793,0.01788,56.1535,27.576298,6.2784886,0.0062
EG,361.67,42978600,63.47,66.47,2,81.30645,120.85084,382.43453,1.37,0.629,0.16853,0.128,-0.245,22.087,0.95477664,0.20858,0.01006,0.01348,5.6982827,5.4323683,1.0141381,0.0219
EIX,78.44,387150016,3.37,5.7,0.78,-4.33036,12.13741,44.73977,2.64,0.935,0.07632,0.106,2.3,202.126,1.7836506,0.07411,0.00543,0.01485,23.275967,13.766307,2.166372,0.041500002
EL,73.57,233436000,0.57,2.7,0.66,8.49751,8.98747,66.18945,1.66,1.044,0.01314,-0.045,-0.045,196.892,1.676516,0.03857,0.01978,0.03434,129.07018,26.844486,5.1948876,0.0194
ELV,379.65,231923008,28.06,34.95,1.63,-4.79577,9.18839,750.31368,1.82,0.853,0.03688,0.054,-0.2,61.87,0.50598836,0.15504,0.00845,0.01486,13.529936,10.776308,2.0114653,0.0175
EMN,88.65,115913000,7.46,8.7,0.83,4.40417,10.34397,80.61218,3.07,1.459,0.09471,0.087,0.027,90.817,1.0999564,0.15925,0.00904,0.02986,11.883378,10.169364,1.8165984,0.0374
EMR,122.09,569531008,2.78,6.32,0.525,5.42332,5.85043,30.71299,4.32,1.292,0.11251,0.129,0.342,30.376,4.019149,0.05933,0.00495,0.02152,43.917267,18.745153,3.2175517,0.0171
ENPH,71.38,135107008,0.46,3.66,,2.07364,2.82629,9.2537,4.39,1.767,0.04912,-0.309,-0.587,143.041,7.7968535,0.06312,0.03466,0.14257,155.1739,18.525679,10.352429,
EOG,126.39,562449984,12.37,11.06,0.91,7.89626,22.19575,42.42866,4.52,1.289,0.2992,-0.039,-0.152,13.911,2.9831247,0.24908,0.00511,0.02355,10.217462,11.428959,2.4134507,0.0308
EPAM,230.99,56721400,7.71,11.19,,11.09921,10.58292,81.74774,0.73,1.457,0.09679,0.013,0.436,4.654,2.825644,0.13094,0.01117,0.00994,29.959793,20.403404,3.6856382,
EQIX,940,96488200,10.9,13.38,4.26,30.53486,33.85487,87.07273,3.29,0.701,0.12571,0.189,0.058,140.964,11.024915,0.08267,0.00505,0.01791,86.23853,72.56194,6.6749034,0.0178
EQT,47.64,596684032,0.76,2.52,0.158,0.57528,4.51677,7.7479,2.4,1.069,0.06797,0.195,0.195,67.324,6.1487627,0.018229999,0.01191,0.0324,62.68421,16.99256,1.3969445,0.013400001
ERIE,405.2,46189100,10.7,13.4,1.275,7.56194,12.25889,79.86066,6.76,0.454,0.1516,0.164,0.22,0.406,5.744006,0.31418,0.00315,0.02207,37.86916,28.335665,10.876977,0.013200001
ES,56.23,366401984,-1.58,4.78,0.715,-7.76011,5.44379,31.72352,2.48,0.622,-0.047259998,0.097,0.097,187.768,1.8065492,-0.03491,0.00569,0.01316,11.742693,11.742693,1.3600851,0.0499
ESS,272.79,64267500,8.21,6.02,2.45,11.36431,16.39483,27.2679,3.26,0.897,0.31354,0.076,0.353,113.371,10.802667,0.10176,0.00532,0.01439,33.226555,44.68356,3.2263749,0.0345
ETN,348.56,395200000,9.55,12.05,0.94,6.44547,10.19231,62.25961,2.8,1.01,0.15314001,0.079,0.14,52.594,5.5984926,0.20079,0.00461,0.01232,36.49843,28.868404,7.2056723,0.011
ETR,75.26,428816000,4.04,7.74,0.6,-3.6895,9.72949,27.66257,1.48,0.701,0.1481,-0.057,-0.048,188.807,2.7719777,0.11951,0.00799,0.01158,18.628714,19.411467,1.0734102,0.0313
EVRG,60.27,229976000,3.7,4.04,0.643,-3.75958,8.76874,25.12349,5.02,0.608,0.14769,0.085,0.322,137.464,2.39895,0.08733,0.00781,0.03939,16.289188,14.917651,1.3825614,0.0434
EW,73.54,589800000,2.59,2.45,,3.03889,1.36724,10.70685,1.55,1.12,0.65859,0.089,7.161,7.353,6.8685,0.19139,0.00866,0.01238,28.393824,29.86105,4.543994,
EXC,37.8,1004830016,2.42,2.63,0.38,-2.14029,5.5273,22.81381,2.68,0.61,0.106000006,0.029,0.029,173.221,1.6678566,0.0933,0.00621,0.01585,15.619834,14.366506,1.4267381,0.0399
EXPD,111.11,139976000,5.12,5.38,0.73,3.24388,4.51505,70.89485,4.62,0.974,0.073860005,0.37,0.405,23.009,1.5696467,0.30290002,0.00778,0.03355,21.701172,20.517488,6.599157,0.013099999
EXPE,184.99,122823000,7.64,14.36,0.34,13.57136,21.56762,109.05124,4.3,1.785,0.07966,0.033,0.756,255.417,1.7831908,0.38564998,0.01187,0.03946,24.213352,13.080691,18.028458,
EXR,148.56,211984000,3.68,4.78,1.62,4.9247,8.69719,15.62029,4.55,0.886,0.24412,0.12,-0.051,81.828,10.060712,0.05568,0.00442,0.01808,40.369564,32.326008,2.2477417,0.0429
F,9.92,3903439872,0.88,1.75,0.15,0.51038,3.81382,46.81589,2.09,1.636,0.01931,0.055,-0.265,359.359,0.21486972,0.0799,0.01426,0.02839,11.272727,5.514083,0.8896861,0.060700003
FANG,169.64,291988992,17.34,14.64,2.34,-19.02597,19.50758,31.36077,2.75,1.875,0.35208,0.087,-0.371,33.574,5.4093056,0.122650005,0.00767,0.01869,9.78316,10.999093,1.3268051,0.048499998
FAST,71.97,572886016,2.02,2.19,0.39,1.43534,2.17233,13.05687,4.74,0.979,0.15439999,0.035,0.005,14.644,5.5120397,0.32698002,0.00493,0.01974,35.628716,32.91758,11.462017,0.0218
FCX,38.57,1436930048,1.38,2.16,0.15,0.89731,4.90212,17.8436,2.17,1.91,0.07812,0.166,0.161,33.531,2.1615598,0.16870001,0.00745,0.01711,27.949276,18.408129,3.1583688,0.0159
FDS,466.03,37988800,13.97,18.68,1.04,14.61646,18.43538,57.99225,8.95,0.752,0.24381,0.049,0.382,82.338,8.036073,0.30411,0.00668,0.06158,33.35934,25.063906,9.248279,0.0088
FE,39.27,576316992,1.52,2.89,0.425,-2.76909,4.86711,23.00297,4.43,0.495,0.06729,0.069,0.049,173.13,1.7354279,0.083050005,0.00468,0.01871,25.835527,13.6128235,1.8211752,0.042600002
FFIV,259.7,58614900,9.74,15.4,,13.41814,13.51907,48.04444,2.84,1.05,0.20126,0.056,0.102,6.895,5.4054127,0.19117,0.00963,0.02529,26.663246,16.865719,4.8211336,
FI,205.63,568918976,5.1,10.19,,7.88008,10.55511,35.36883,2.66,0.919,0.15222,0.07,-0.372,89.406,5.896999,0.10618,0.00482,0.01406,40.31961,20.158401,4.223596,
FIS,79.04,538353984,0.96,5.71,0.36,7.34252,5.40908,18.63272,3.72,1.074,0.14146,0.031,0.031,66.387,4.3074794,0.03034,0.00585,0.02313,82.333336,13.841001,2.5902865,0.0179
FMC,49.67,124836000,12.48,4.66,0.58,4.80781,4.52113,33.387,4.93,0.853,0.34931,0.085,0.085,90.927,1.4877045,0.38454,0.01039,0.05054,3.9799678,10.712799,1.3456693,0.0478
FOX,47.07,235580992,4.09,2.35,0.27,5.40048,8.47691,60.85805,2.26,0.77,0.13399,0.111,1.171,70.271,1.5399246,0.17711,0.00445,0.01306,11.508557,20.029787,1.9111617,0.0116
FOXA,49.63,221155008,4.09,3.73,0.27,5.75275,9.02987,64.82784,6.64,0.77,0.13399,0.111,1.171,70.271,1.53808,0.17711,0.01531,0.11549,12.134474,13.067336,2.0151043,0.0109
FRT,106.54,84964096,3.35,3.07,1.1,4.28909,6.68027,13.9473,3.86,1.258,0.24791001,0.058,0.037,135.474,7.918441,0.09324,0.00716,0.02914,31.802986,33.790684,3.0663407,0.0401
FSLR,191.27,107058000,11.92,20.86,,-4.38714,9.04287,35.96939,3.31,1.481,0.32412997,0.108,0.164,9.141,5.317577,0.17964001,0.02587,0.0757,16.04614,9.06544,2.6966023,
FTNT,97.94,766452992,2,2.41,,2.15069,2.57315,7.45095,3.2,0.995,0.26790002,0.13,0.707,118.588,13.14464,3.1152499,0.00589,0.01993,48.97,40.43732,82.5801,
FTV,76.52,346948992,2.52,4.17,0.08,3.20288,4.24097,17.85623,1.46,1.174,0.14355,0.027,0.033,38.261,4.2853394,0.08615,0.00745,0.01011,30.365078,18.384243,2.514954,0.0042
GD,257.99,274968992,12.85,16.08,1.42,7.82134,11.43765,167.45888,2.22,0.614,0.07903,0.104,0.102,48.609,1.5727439,0.16952999,0.00499,0.01273,20.077042,16.145494,3.0829806,0.0216
GDDY,199.34,140391008,12.46,6.71,,6.55419,8.86738,31.91729,2.27,1.114,0.41335,0.073,0.483,1107.373,6.245518,0.07535,0.00844,0.02307,15.998395,24.436108,78.418564,
GE,172.45,1082290048,5.09,5.24,0.28,4.36979,6.04551,64.63425,2.47,1.188,0.08926,0.058,6.064,110.224,2.66809,0.22552,0.00434,0.01096,33.880154,32.726498,9.888756,0.0065
GEN,27.43,616296000,0.99,2.45,0.125,2.07287,3.46424,6.26809,3.73,1.054,0.16153,0.031,0.132,409.342,4.3761325,0.2766,0.00538,0.01881,27.707071,11.192995,8.053435,0.0182
GILD,91.23,1246269952,0.09,7.43,0.77,7.28444,8.0416,22.70696,3.07,0.192,0.00445,0.07,-0.422,126.415,4.017711,0.00561,0.00513,0.01763,1013.6667,12.051312,6.1529646,0.0337
GIS,61.5,551230976,4.43,4.7,0.6,3.98474,6.43777,35.9207,5.31,0.107,0.12136,-0.012,-0.096,139.823,1.7783614,0.24168,0.00702,0.03843,13.882619,13.432728,3.6591897,0.0364
GL,111.2,83945104,11.8,13.55,0.24,15.02182,17.35551,68.22891,3.43,0.807,0.19037001,0.052,0.284,67.544,1.6298076,0.23546,0.00799,0.02613,9.423728,8.198172,2.020312,0.0086
GLW,48.34,856209024,0.19,2.31,0.28,1.30094,2.36975,14.72888,2.6,1.029,0.01237,0.069,0.069,72.739,3.2819877,0.019299999,0.00518,0.01248,254.42105,20.92233,3.5439882,0.023599999
GM,53.53,1099600000,9.37,10.57,0.12,-2.1252,17.8665,166.16861,2.89,1.414,0.06058,0.105,0.218,174.581,0.32214266,0.14167,0.01091,0.03339,5.7129135,5.0723085,0.8301026,0.0093
GNRC,160.06,59497300,4.8,8.21,5,9.15033,12.0811,69.32588,3.82,1.367,0.07169,0.096,0.948,65.432,2.3088057,0.123780005,0.01368,0.04463,33.345833,19.235529,3.9523914,
GOOG,197.96,5534000128,7.53,8.95,0.2,7.42763,18.99187,61.4129,2.48,1.034,0.27738002,0.151,0.366,9.324,7.103014,0.32101002,0.0034,0.00904,26.289509,22.009104,7.7288876,0.0041
GOOGL,196.87,5842999808,7.54,8.96,0.2,7.03483,17.98751,58.16516,2.36,1.034,0.27738002,0.151,0.366,9.324,7.113257,0.32101002,0.0047,0.01214,26.110079,21.887917,7.686331,0.0042
GPC,117.37,139036000,7.79,8.47,1,3.49204,10.42456,167.59889,2.86,0.933,0.046690002,0.025,-0.349,127.177,0.70030296,0.24416,0.01006,0.02373,15.066752,13.6442,3.475673,0.0342
GPN,113.03,254495008,5.32,12.8,0.25,13.03275,13.89696,39.38906,3.78,0.979,0.13612,0.051,-0.109,74.476,2.8695784,0.06064,0.00786,0.0279,21.24624,8.817367,1.2605529,0.0089
GRMN,207.83,192024992,7.87,7.46,0.75,5.04709,7.36634,31.02119,3.67,0.983,0.2548,0.241,0.545,1.908,6.6996145,0.21909,0.00468,0.01573,26.407879,27.154896,5.319563,0.014500001
GS,583.39,313910016,34.11,41.56,3,-281.40548,-281.40548,157.32853,2.36,1.342,0.24648,0.042,0.536,609.793,3.7081006,0.1017,0.00656,0.01387,17.103195,13.472411,1.78074,0.0207
GWW,1054.01,48700200,36.89,42.11,2.05,31.75038,46.96079,347.67824,7.23,1.151,0.10802,0.043,0.047,83.325,3.0315673,0.52611,0.00476,0.03242,28.571701,25.012068,14.655516,0.0078
HAL,27.66,878502016,2.86,3.25,0.17,2.10059,4.34717,26.26403,2.67,1.905,0.11038999,-0.018,-0.18,83.993,1.0539129,0.26293,0.01026,0.02689,9.671329,8.9446535,2.3586595,0.024600001
HAS,56.89,139500992,-4.65,4.43,0.7,8.92055,7.01285,30.98759,2.82,0.619,-0.14833,-0.148,-0.148,305.016,1.835896,-0.36224997,0.01113,0.03156,12.86487,12.86487,6.1649327,0.0493
HCA,296.92,253296992,22.3,24.55,0.66,16.3711,41.9626,274.85916,3.29,1.689,0.085159995,0.079,0.248,5711.069,1.0802624,11.954511,0.00571,0.01885,13.314799,12.06154,1.0802624,0.0089
HD,389.37,993363008,14.71,15.6,2.25,12.02305,20.00477,155.62891,3.52,1.011,0.0945,0.066,-0.037,1095.368,2.501913,4.04933,0.00327,0.01154,26.469748,24.73497,66.68436,0.0231
HES,135.92,308118016,8.55,7.6,0.5,2.05238,18.27871,40.44879,3.34,1.16,0.21183,0.133,-0.012,81.969,3.3719242,0.2885,0.00504,0.01682,15.897076,17.16244,3.8574185,0.0147
HIG,108.65,289891008,9.89,11.61,0.47,14.54297,19.53148,89.97864,2.44,0.936,0.11612,0.095,0.225,25.629,1.2169559,0.19740999,0.00538,0.013,10.985844,9.347556,1.8950031,0.019
